algorithm_name,base_type,data_path,population_size,max_evaluations,crossover,mutation,fitness1,fitness2,computation_time
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,61097.000000,10.000000,2885
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,63007.000000,10.000000,2848
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,49421.000000,10.000000,38308
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,54956.000000,10.000000,27629
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,50438.000000,10.000000,27216
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,51072.000000,10.000000,27218
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,53546.000000,10.000000,28144
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,47098.000000,10.000000,27153
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,53474.000000,10.000000,27042
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,53413.000000,10.000000,28392
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,52875.000000,10.000000,27181
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,49087.000000,10.000000,27146
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,50898.000000,10.000000,35740
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,51159.000000,10.000000,27903
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,54683.000000,10.000000,27869
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,49144.000000,10.000000,27766
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,48237.000000,10.000000,27909
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,48346.000000,10.000000,27473
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,51843.000000,10.000000,27547
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,49634.000000,10.000000,27574
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,51920.000000,10.000000,27656
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.200000,53082.000000,10.000000,27383
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,48548.000000,10.000000,30028
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,50603.000000,10.000000,22966
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,49686.000000,10.000000,22284
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,45693.000000,10.000000,22183
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,55412.000000,10.000000,23706
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,48362.000000,10.000000,24765
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,52455.000000,10.000000,25135
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,50608.000000,10.000000,24483
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,51749.000000,10.000000,21919
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.100000,49281.000000,10.000000,21708
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,54087.000000,10.000000,29413
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,54057.000000,10.000000,24392
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,48406.000000,10.000000,22410
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,51409.000000,10.000000,23525
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,51546.000000,10.000000,26383
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,49164.000000,10.000000,24451
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,49789.000000,10.000000,24617
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,47367.000000,10.000000,24726
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,50230.000000,10.000000,24559
NSGAII,CENTER_BASE,/tspInstances/kroA100.tsp,100,1000000,0.900000,0.100000,48200.000000,10.000000,24421
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,46790.000000,10.000000,33614
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,48268.000000,9.000000,27267
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,58908.000000,10.000000,26293
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,51347.000000,10.000000,26739
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,1000000,0.800000,0.200000,50047.000000,10.000000,26555
